timestamp,count,density,density_level,feed_id
2025-09-06T16:25:47.355266,11,1.193576388888889,Very High,ae812b92
2025-09-06T16:25:53.568422,21,2.2786458333333335,Critical,ae812b92
2025-09-06T16:26:01.491664,20,2.170138888888889,Critical,ae812b92
2025-09-06T16:26:09.837851,15,1.6276041666666667,Extreme,ae812b92
2025-09-06T16:26:14.849407,20,2.170138888888889,Critical,ae812b92
2025-09-06T16:26:25.525923,17,1.8446180555555558,Extreme,ae812b92
2025-09-06T16:26:30.753157,18,1.9531250000000002,Extreme,ae812b92
2025-09-06T16:26:39.829238,20,2.170138888888889,Critical,ae812b92
2025-09-06T16:26:46.699489,24,2.604166666666667,Critical,ae812b92
2025-09-06T16:26:58.723777,19,2.0616319444444446,Critical,ae812b92
2025-09-06T16:27:04.784954,20,2.170138888888889,Critical,ae812b92
2025-09-06T16:27:11.014201,12,1.3020833333333335,Extreme,ae812b92
2025-09-06T16:27:19.682853,16,1.7361111111111112,Extreme,ae812b92
2025-09-06T16:27:26.500655,20,2.170138888888889,Critical,ae812b92
2025-09-06T16:27:38.586372,17,1.8446180555555558,Extreme,ae812b92
2025-09-06T16:27:44.456005,18,1.9531250000000002,Extreme,ae812b92
2025-09-06T16:27:50.246455,19,2.0616319444444446,Critical,ae812b92
2025-09-06T16:27:55.940220,18,1.9531250000000002,Extreme,ae812b92
2025-09-06T16:28:04.569273,21,2.2786458333333335,Critical,ae812b92
2025-09-06T16:28:10.293537,17,1.8446180555555558,Extreme,ae812b92
2025-09-06T16:28:16.743710,14,1.5190972222222223,Extreme,ae812b92
2025-09-06T16:28:27.057667,22,2.387152777777778,Critical,ae812b92
2025-09-06T16:28:39.180688,16,1.7361111111111112,Extreme,ae812b92
2025-09-06T16:28:47.670496,25,2.712673611111111,Critical,ae812b92
