timestamp,count,density,density_level,feed_id
2025-09-05T22:22:31.247633,24,2.604166666666667,Critical,0fa73764
2025-09-05T22:22:36.448448,23,2.4956597222222223,Critical,0fa73764
2025-09-05T22:22:41.504265,20,2.170138888888889,Critical,0fa73764
2025-09-05T22:22:46.635165,16,1.7361111111111112,Extreme,0fa73764
2025-09-05T22:22:53.275996,32,3.4722222222222223,Critical,0fa73764
2025-09-05T22:22:58.497525,24,2.604166666666667,Critical,0fa73764
2025-09-05T22:23:03.746563,26,2.821180555555556,Critical,0fa73764
2025-09-05T22:23:08.854781,24,2.604166666666667,Critical,0fa73764
2025-09-05T22:23:14.136836,18,1.9531250000000002,Extreme,0fa73764
2025-09-05T22:23:19.385274,32,3.4722222222222223,Critical,0fa73764
2025-09-05T22:23:24.479258,22,2.387152777777778,Critical,0fa73764
2025-09-05T22:23:29.756540,21,2.2786458333333335,Critical,0fa73764
2025-09-05T22:23:36.119117,26,2.821180555555556,Critical,0fa73764
2025-09-05T22:23:43.162350,19,2.0616319444444446,Critical,0fa73764
2025-09-05T22:23:48.840321,37,4.014756944444445,Critical,0fa73764
2025-09-05T22:23:54.590590,25,2.712673611111111,Critical,0fa73764
