time,feed_id,entered,exited,occupancy
2025-08-25T19:10:17Z,7f01662c,0,0,0
2025-08-25T19:10:19Z,7f01662c,0,0,0
2025-08-25T19:10:20Z,7f01662c,0,0,0
2025-08-25T19:10:21Z,7f01662c,0,0,0
2025-08-25T19:10:22Z,7f01662c,0,0,0
2025-08-25T19:10:23Z,7f01662c,0,0,0
2025-08-25T19:10:24Z,7f01662c,0,0,0
2025-08-25T19:10:25Z,7f01662c,0,0,0
2025-08-25T19:10:27Z,7f01662c,0,0,0
2025-08-25T19:10:28Z,7f01662c,0,0,0
2025-08-25T19:10:30Z,7f01662c,0,0,0
2025-08-25T19:10:31Z,7f01662c,0,0,0
2025-08-25T19:10:33Z,7f01662c,0,0,0
2025-08-25T19:10:34Z,7f01662c,1,0,1
2025-08-25T19:10:35Z,7f01662c,1,0,1
2025-08-25T19:10:37Z,7f01662c,1,0,1
2025-08-25T19:10:39Z,7f01662c,1,0,1
2025-08-25T19:10:40Z,7f01662c,1,0,1
2025-08-25T19:10:41Z,7f01662c,1,0,1
2025-08-25T19:10:42Z,7f01662c,1,0,1
2025-08-25T19:10:43Z,7f01662c,1,0,1
2025-08-25T19:10:44Z,7f01662c,1,0,1
2025-08-25T19:10:45Z,7f01662c,1,0,1
2025-08-25T19:10:47Z,7f01662c,1,0,1
2025-08-25T19:10:48Z,7f01662c,1,0,1
2025-08-25T19:10:49Z,7f01662c,1,0,1
2025-08-25T19:10:50Z,7f01662c,1,0,1
2025-08-25T19:10:52Z,7f01662c,1,0,1
2025-08-25T19:10:54Z,7f01662c,1,0,1
2025-08-25T19:10:55Z,7f01662c,1,0,1
2025-08-25T19:10:56Z,7f01662c,1,0,1
2025-08-25T19:10:57Z,7f01662c,1,0,1
2025-08-25T19:10:59Z,7f01662c,1,0,1
2025-08-25T19:11:00Z,7f01662c,1,0,1
2025-08-25T19:11:01Z,7f01662c,1,0,1
2025-08-25T19:11:03Z,7f01662c,1,0,1
2025-08-25T19:11:04Z,7f01662c,1,0,1
2025-08-25T19:11:05Z,7f01662c,1,0,1
2025-08-25T19:11:06Z,7f01662c,1,0,1
2025-08-25T19:11:07Z,7f01662c,1,0,1
2025-08-25T19:11:08Z,7f01662c,1,0,1
2025-08-25T19:11:09Z,7f01662c,1,0,1
2025-08-25T19:11:10Z,7f01662c,1,0,1
2025-08-25T19:11:11Z,7f01662c,1,0,1
2025-08-25T19:11:12Z,7f01662c,1,0,1
2025-08-25T19:11:13Z,7f01662c,1,0,1
2025-08-25T19:11:14Z,7f01662c,1,0,1
2025-08-25T19:11:15Z,7f01662c,1,0,1
2025-08-25T19:11:16Z,7f01662c,1,0,1
2025-08-25T19:11:17Z,7f01662c,1,0,1
2025-08-25T19:11:18Z,7f01662c,1,0,1
2025-08-25T19:11:19Z,7f01662c,1,0,1
2025-08-25T19:11:20Z,7f01662c,1,0,1
2025-08-25T19:11:21Z,7f01662c,1,0,1
2025-08-25T19:11:22Z,7f01662c,1,0,1
2025-08-25T19:11:23Z,7f01662c,1,0,1
2025-08-25T19:11:24Z,7f01662c,1,0,1
2025-08-25T19:11:25Z,7f01662c,1,0,1
2025-08-25T19:11:26Z,7f01662c,1,0,1
2025-08-25T19:11:27Z,7f01662c,1,0,1
2025-08-25T19:11:28Z,7f01662c,1,1,0
2025-08-25T19:11:29Z,7f01662c,1,1,0
2025-08-25T19:11:30Z,7f01662c,1,1,0
2025-08-25T19:11:31Z,7f01662c,1,1,0
2025-08-25T19:11:32Z,7f01662c,2,1,1
2025-08-25T19:11:33Z,7f01662c,3,1,2
2025-08-25T19:11:34Z,7f01662c,3,1,2
2025-08-25T19:11:35Z,7f01662c,3,1,2
2025-08-25T19:11:36Z,7f01662c,3,1,2
2025-08-25T19:11:37Z,7f01662c,3,1,2
2025-08-25T19:11:38Z,7f01662c,3,1,2
2025-08-25T19:11:39Z,7f01662c,3,1,2
2025-08-25T19:11:40Z,7f01662c,3,2,1
2025-08-25T19:11:41Z,7f01662c,3,2,1
2025-08-25T19:11:42Z,7f01662c,3,2,1
2025-08-25T19:11:43Z,7f01662c,3,2,1
2025-08-25T19:11:44Z,7f01662c,3,2,1
2025-08-25T19:11:45Z,7f01662c,3,2,1
2025-08-25T19:11:46Z,7f01662c,3,2,1
2025-08-25T19:11:47Z,7f01662c,3,2,1
2025-08-25T19:11:48Z,7f01662c,3,2,1
2025-08-25T19:11:49Z,7f01662c,3,2,1
2025-08-25T19:11:50Z,7f01662c,3,3,0
2025-08-25T19:11:51Z,7f01662c,4,3,1
